"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"AJ Dillon","CAR","RB53","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","RB54","98.9","443.2","3.7","17.9","135.1","0.4","1.9","78.3"
"Cooper Kupp","SEA","WR68","0.5","1.5","0.0","47.4","583.8","3.4","0.7","77.7"
"Denzel Boston","CLE","WR69","1.0","5.0","0.0","48.8","612.0","2.9","0.8","77.4"
"Greg Dulcich","MIA","TE23","0.0","0.0","0.0","53.4","606.3","3.2","1.2","77.3"
"Jordan James","SF","RB55","102.3","416.5","3.2","16.1","146.8","0.7","1.2","77.1"
"Adonai Mitchell","NYJ","WR70","2.2","11.2","0.1","38.5","563.9","3.3","0.5","76.9"
"T.J. Hockenson","MIN","TE24","0.0","0.0","0.0","63.6","573.7","3.3","0.2","76.6"
"Oronde Gadsden II","LAC","TE25","0.0","0.0","0.0","45.5","563.9","3.6","0.7","76.6"
"Cade Otton","TB","TE26","0.0","0.0","0.0","56.0","570.0","3.2","0.1","75.7"
"Terrance Ferguson","LAR","TE27","0.0","0.0","0.0","35.1","485.4","4.3","0.1","74.2"
"Omar Cooper Jr.","NYJ","WR71","2.1","12.5","0.1","46.3","550.3","3.3","1.2","74.1"
"Germie Bernard","PIT","WR72","2.1","10.8","0.0","44.6","550.8","3.1","0.8","73.5"
"Chig Okonkwo","WAS","TE28","0.0","0.0","0.0","53.9","567.2","2.7","0.1","72.9"
"Dylan Sampson","CLE","RB56","73.5","254.1","1.3","35.9","284.6","2.1","1.2","72.0"
"Ty Johnson","BUF","RB57","51.4","222.1","2.1","22.8","241.0","2.2","0.2","71.2"
"Darnell Mooney","NYG","WR73","1.1","6.0","0.0","36.5","534.8","2.8","0.1","70.6"
"Kayshon Boutte","NE","WR74","0.0","0.0","0.0","30.3","462.5","4.0","0.1","70.3"
"Travis Hunter","JAC","WR75","2.0","10.8","0.1","41.6","496.2","3.3","0.4","70.0"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","461.1","3.9","0.1","69.1"
"Bub Means","NO","WR76","1.0","7.0","0.0","38.0","517.0","3.0","1.0","68.4"
"Tyquan Thornton","KC","WR77","0.0","0.0","0.0","25.4","465.9","3.5","0.1","67.2"
"Kaelon Black","SF","RB58","98.1","387.6","3.2","8.6","78.9","0.6","1.1","67.0"
"Darius Slayton","NYG","WR78","1.6","8.6","0.0","35.4","521.0","2.5","0.7","66.8"
"Emari Demercado","KC","RB59","76.8","425.9","1.7","16.3","119.0","0.8","1.7","66.2"
"Ja'Kobi Lane","BAL","WR79","1.5","8.5","0.0","30.4","458.7","3.4","0.6","66.0"
"Christian Kirk","SF","WR80","0.0","0.0","0.0","39.5","472.5","3.0","0.1","65.3"
"Chris Bell","MIA","WR81","0.0","0.0","0.0","40.4","535.2","2.0","0.4","64.4"
"Tory Horton","SEA","WR82","0.5","3.0","0.0","30.3","400.9","4.2","0.6","64.1"
